Action,Custom label (SKU),Category ID,Title,Relationship,Relationship details,Start price,Quantity,Condition ID,Description,Format,Duration,Item photo URL,PostalCode,Country,Currency,SiteID,C:ShippingPolicy,C:PaymentPolicy,C:ReturnPolicy,Brand,P:UPC
,Hummingbird pole pet / kit,,,Variation,Assembly=kit,49.00,0,,,,,,,,,,,,,,Does not apply
Add,Bird Zoetrope,1188,"Bird Zoetrope Kit, 3D Laser Cut Wooden Puzzle, Animation Machine",,,40.00,9,1000,"<p>(See my other listings for the digital plans for this kit) Wind the handle to make the birds flap their wings. This works like a traditional film projector except rather than pictures there are 3D objects in each frame. The small gear is specially shaped so that rather than giving the big gear continuous motion, it is intermittent. This means there is a pause after each 45 degree rotation, allowing your eye to catch the bird as a still frame. When the handle is turned quickly these blend together into an animation. Most 3D Zoetropes use a strobe light to provide the still frame effect. I like this method because it does not require a dark room or electricity.</p><p>This mechanism comes in kit form with all of the parts for you to slot together. I attempt to make the fits tight enough so that no glue is needed, but PVA can be used on any loose parts.</p><p>Parts that seem to tight can be sanded.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/ff0b3f/3659623310/il_fullxfull.3659623310_2in0.jpg|https://i.etsystatic.com/25031074/r/il/b9ee3b/3707201635/il_fullxfull.3707201635_qjfn.jpg|https://i.etsystatic.com/25031074/r/il/b3f92c/3707201697/il_fullxfull.3707201697_pg8y.jpg|https://i.etsystatic.com/25031074/r/il/b6908d/3659583226/il_fullxfull.3659583226_dh53.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Swinging Monkey,1188,DIY Swinging Monkey Automata Kit - Fun Craft Project for Kids and Adults,,assembly=kit;assembled,,,1000,<p>This is the physical kit. See my other listings for the Digital plans.</p><p>This kit contains all the part to build a mechanical swinging monkey automaton. Crank the handle to watch him swing through the trees.</p><p>Build the kinetic model yourself using the precision laser cut birch plywood gears and linkages. Attach to a wall or door using hanger tape or screws.</p>,FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/5d0025/5850380013/il_fullxfull.5850380013_pu5w.jpg|https://i.etsystatic.com/25031074/r/il/dffcd8/5849201859/il_fullxfull.5849201859_q0c6.jpg|https://i.etsystatic.com/25031074/r/il/a72b58/5801123970/il_fullxfull.5801123970_kdn3.jpg|https://i.etsystatic.com/25031074/r/il/52da51/5849197589/il_fullxfull.5849197589_gk3f.jpg|https://i.etsystatic.com/25031074/r/il/74ad37/5850325771/il_fullxfull.5850325771_kd80.jpg|https://i.etsystatic.com/25031074/r/il/c65b49/5849203955/il_fullxfull.5849203955_cgex.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,
,Swinging Monkey / kit,,,Variation,assembly=kit,40.00,10,,,,,,,,,,,,,,Does not apply
,Swinging Monkey / assembled,,,Variation,assembly=assembled,60.00,0,,,,,,,,,,,,,,Does not apply
Add,Whale Pulley Pet,1188,"Whale Automata Toy Kit: Mechanical Pet, DIY Build",,,32.00,6,1000,<p>Build your own mechanical swimming whale with this kit. Pull the string to make it wiggle its flippers and tail as it swims upwards. Collect the whole set of animals to hang in your window.</p>,FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/d73939/2578454161/il_fullxfull.2578454161_t55f.jpg|https://i.etsystatic.com/25031074/r/il/074aca/2578454567/il_fullxfull.2578454567_d083.jpg|https://i.etsystatic.com/25031074/r/il/696de0/2578455005/il_fullxfull.2578455005_kq5r.jpg|https://i.etsystatic.com/25031074/r/il/8be0b4/2530799714/il_fullxfull.2530799714_peaq.jpg|https://i.etsystatic.com/25031074/r/il/7171c3/2530800862/il_fullxfull.2530800862_aj7o.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Bird Money Bank,1188,Automata kit Bird Money Bank - Gear Box Pets,,,55.00,16,1000,"<p>This kit contains the parts to build your own mechanical money banking bird. Assemble the laser cut and solid wood pieces with glue and instructions provided.</p><p>Put a coin in the birds mouth and wind the handle to watch him fly around and deposit it into the coin eating flower. This kit connects with other Animals in the Gearbox pet series, making them all move together.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/0222dd/3203550682/il_fullxfull.3203550682_iyzb.jpg|https://i.etsystatic.com/25031074/r/il/4486c8/3203551604/il_fullxfull.3203551604_rro6.jpg|https://i.etsystatic.com/25031074/r/il/9979db/3203553146/il_fullxfull.3203553146_hypc.jpg|https://i.etsystatic.com/25031074/r/il/9be3b4/3251258721/il_fullxfull.3251258721_p7ze.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Goldfish Gearbox pet,1188,Goldfish Automata Kit - Wooden Mechanical Fish,,,55.00,9,1000,"<p>Build your own mechanical pet Goldfish. Turn the handle to make it swim around the tank. Tail and fins wiggle. This is also a fortune telling machine. First ask the fish a question. Put the little ball into the fish's mouth. He will swim around, open the mechanical iris and spit the ball into it. Open the drawer to see the answer to your question. This kit comes with all of the parts you need to assemble the moving model. This kit connects like a puzzle piece to other animals in the Gear Box Pet collection, allowing them to all move together in synchrony.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/54d3fc/3277769191/il_fullxfull.3277769191_chd1.jpg|https://i.etsystatic.com/25031074/r/il/dbfe49/3230086128/il_fullxfull.3230086128_au7d.jpg|https://i.etsystatic.com/25031074/r/il/3130e8/3230090922/il_fullxfull.3230090922_5cst.jpg|https://i.etsystatic.com/25031074/r/il/da9038/3230095764/il_fullxfull.3230095764_doti.jpg|https://i.etsystatic.com/25031074/r/il/209f3e/3230110444/il_fullxfull.3230110444_rft9.jpg|https://i.etsystatic.com/25031074/r/il/260abd/3277804971/il_fullxfull.3277804971_c9m7.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Tortoise Gearbox Pet,1188,Tortoise Automata Kit - Wooden mechanical keepsake box,,,55.00,18,1000,"<p>Build your own mechanical counting pet Tortoise. Wind the handle to make him walk. His legs wiggle and his head looks side to side. With every cycle around his enclosure he will increment the counting mechanism up or down by one number. His base is also a keep sake drawer so you can use the counting feature to keep track of how many items (sweats) you have in your collection. Or you could use him to keep track of your score in a game. The kit comes with all of the parts ready to be glued together. Some parts have color printed graphics, others you can paint yourself. This kit joins up like a puzzle piece to the other animals in the Gear Box Pets collection allowing them all to move in synchrony.</p>",FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/0afdd3/3230052300/il_fullxfull.3230052300_ewkv.jpg|https://i.etsystatic.com/25031074/r/il/7893ed/3230033922/il_fullxfull.3230033922_qqtx.jpg|https://i.etsystatic.com/25031074/r/il/a0083e/3230034656/il_fullxfull.3230034656_onr9.jpg|https://i.etsystatic.com/25031074/r/il/af24f0/3277724805/il_fullxfull.3277724805_1voe.jpg|https://i.etsystatic.com/25031074/r/il/d282ec/3230036548/il_fullxfull.3230036548_a5vz.jpg|https://i.etsystatic.com/25031074/r/il/0b58bc/3230039020/il_fullxfull.3230039020_fdy2.jpg|https://i.etsystatic.com/25031074/r/il/d9d886/3277733973/il_fullxfull.3277733973_phtq.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
Add,Gorilla Pulley Pet,1188,Climbing Gorilla Pulley Toy Kit: Pet Automata Mechanism,,,32.00,10,1000,<p>This is the physical kit. Digital plans are available as a separate listing. Build your own little climbing Gorilla with this kit. Hang him in your window and pull the string to make him climb hand over hand up the string.</p>,FixedPrice,GTC,https://i.etsystatic.com/25031074/r/il/7fe8fb/4872386232/il_fullxfull.4872386232_hgbf.jpg|https://i.etsystatic.com/25031074/r/il/315f3c/4920652869/il_fullxfull.4920652869_b1un.jpg|https://i.etsystatic.com/25031074/r/il/3ad9a6/4920653583/il_fullxfull.4920653583_301u.jpg|https://i.etsystatic.com/25031074/r/il/803b12/4872387924/il_fullxfull.4872387924_cdnh.jpg|https://i.etsystatic.com/25031074/r/il/7bec8d/2530762026/il_fullxfull.2530762026_lozd.jpg|https://i.etsystatic.com/25031074/r/il/2f5a8a/4920654223/il_fullxfull.4920654223_g9kp.jpg|https://i.etsystatic.com/25031074/r/il/2c8f01/4872388644/il_fullxfull.4872388644_l7pn.jpg,7306,AU,AUD,15,REPLACE_WITH_SHIPPING_POLICY,REPLACE_WITH_PAYMENT_POLICY,REPLACE_WITH_RETURN_POLICY,Contraption Cart,Does not apply
